,Real,prediction
187,2170.0,2238.14404296875
188,2160.0,2310.556396484375
189,2140.0,2234.86279296875
190,1920.0,2218.294189453125
191,1940.0,1938.4259033203125
192,2000.0,2019.9906005859375
193,1810.0,2108.035400390625
194,1620.0,1796.5406494140625
195,1440.0,1577.3236083984375
196,1340.0,1378.009765625
197,1190.0,1228.8497314453125
198,924.0,1031.38623046875
199,615.0,778.837158203125
200,635.0,544.1048583984375
201,489.0,579.742431640625
202,454.0,496.28851318359375
203,1130.0,553.6504516601562
204,1590.0,1418.1600341796875
205,1670.0,2017.677490234375
206,1650.0,1778.37451171875
207,1700.0,1720.4774169921875
208,1730.0,1697.0330810546875
209,1840.0,1776.2275390625
210,2460.0,1905.8870849609375
211,2520.0,2807.131103515625
212,2500.0,2602.469970703125
213,2420.0,2539.0556640625
214,2290.0,2427.61572265625
215,2140.0,2296.15185546875
216,2080.0,2134.55859375
217,2130.0,2089.276611328125
218,2190.0,2204.729736328125
219,2190.0,2294.518798828125
220,2180.0,2253.052734375
221,2080.0,2245.78466796875
222,1950.0,2096.339599609375
223,1810.0,1937.8985595703125
224,1650.0,1761.1492919921875
225,1460.0,1562.9879150390625
226,1270.0,1338.4017333984375
227,1070.0,1121.5472412109375
228,870.0,924.660888671875
229,760.0,728.9168090820312
230,766.0,622.1397705078125
231,753.0,611.78076171875
232,591.0,615.0181274414062
233,445.0,463.2577209472656
234,374.0,349.104736328125
235,329.0,326.03643798828125
236,286.0,351.299072265625
237,284.0,316.79364013671875
238,393.0,339.2432861328125
239,426.0,570.4064331054688
240,508.0,609.8524169921875
241,626.0,670.6923217773438
242,594.0,656.990478515625
243,552.0,632.9796752929688
244,614.0,519.9263916015625
245,551.0,565.2108154296875
246,501.0,520.2713012695312
247,500.0,464.71392822265625
248,505.0,534.1502685546875
249,571.0,603.735595703125
250,858.0,730.3886108398438
251,1000.0,1061.6768798828125
252,1040.0,1189.11279296875
253,1050.0,1102.337890625
254,1040.0,1121.3167724609375
255,969.0,1054.0892333984375
256,852.0,909.95263671875
257,747.0,781.8009643554688
258,653.0,678.5355834960938
259,571.0,578.3389282226562
260,502.0,502.3119812011719
261,444.0,407.13226318359375
262,400.0,349.2651672363281
263,397.0,338.3533935546875
264,401.0,331.2083740234375
265,405.0,330.86346435546875
266,407.0,338.29608154296875
267,394.0,344.5322570800781
268,365.0,359.3072204589844
269,338.0,323.3554382324219
270,361.0,291.48065185546875
271,352.0,328.3486328125
272,341.0,330.8791198730469
273,362.0,338.730712890625
274,376.0,382.13409423828125
275,266.0,410.4521484375
276,187.0,251.9094696044922
277,246.0,177.45916748046875
278,420.0,260.02392578125
279,427.0,398.57537841796875
280,375.0,342.249755859375
281,306.0,264.0668640136719
282,273.0,301.20001220703125
283,276.0,204.72003173828125
284,277.0,236.10809326171875
285,274.0,235.71566772460938
286,263.0,226.39874267578125
287,240.0,210.25888061523438
288,177.0,212.19961547851562
289,93.2,156.54818725585938
290,90.2,75.55570220947266
291,94.6,71.31551361083984
292,95.0,38.044349670410156
293,90.9,103.15303802490234
294,91.8,28.990262985229492
295,176.0,72.04850769042969
296,235.0,145.2168426513672
297,243.0,202.54310607910156
298,239.0,199.33160400390625
299,219.0,149.1836700439453
300,185.0,150.09271240234375
301,156.0,179.86329650878906
302,128.0,133.01502990722656
303,111.0,109.91455841064453
304,106.0,97.07019805908203
305,104.0,81.63843536376953
306,103.0,83.42891693115234
307,104.0,84.54203033447266
308,114.0,77.81963348388672
309,141.0,92.75243377685547
310,154.0,124.20299530029297
311,151.0,135.29197692871094
312,138.0,119.38785552978516
313,121.0,102.43994140625
314,119.0,102.36593627929688
315,121.0,103.39476776123047
316,120.0,103.14910125732422
317,118.0,106.00934600830078
318,118.0,86.55616760253906
319,131.0,94.6129379272461
320,157.0,113.00469207763672
321,174.0,137.21241760253906
322,186.0,151.65914916992188
323,196.0,158.32473754882812
324,214.0,165.54611206054688
325,243.0,188.88272094726562
326,267.0,232.663330078125
327,279.0,286.29058837890625
328,281.0,332.8175048828125
329,277.0,358.41815185546875
330,273.0,332.30780029296875
331,277.0,319.7007751464844
332,283.0,328.18603515625
333,287.0,347.9788818359375
334,289.0,270.90704345703125
335,290.0,260.8382873535156
336,294.0,269.2105712890625
337,320.0,270.6314697265625
338,343.0,301.9247131347656
339,346.0,330.9547119140625
340,357.0,335.53173828125
341,406.0,376.0914306640625
342,412.0,477.9163513183594
343,394.0,494.7439270019531
344,329.0,426.3863525390625
345,263.0,307.2254638671875
346,256.0,227.49594116210938
347,260.0,217.5494842529297
348,269.0,227.56922912597656
349,280.0,229.5693817138672
350,289.0,223.2818145751953
351,297.0,262.1694030761719
